|cluster_num|color
0|0|#FEF0D9
1|1|#FDD49E
2|2|#FDBB84
3|3|#FFFFD4
4|4|#FEE391
5|5|#FEC44F
6|6|#FE9929
7|7|#EC7014
8|8|#FFFFB2
9|9|#FED976
10|10|#FEB24C
11|11|#FD8D3C
12|12|#FC4E2A
13|13|#F1EEF6
14|14|#D0D1E6
15|15|#A6BDDB
16|16|#F6EFF7
17|17|#D0D1E6
18|18|#A6BDDB
19|19|#67A9CF
20|20|#3690C0
21|21|#F1EEF6
22|22|#D4B9DA
23|23|#C994C7
24|24|#FEEBE2
25|25|#FCC5C0
26|26|#FA9FB5
27|27|#FFFFCC
28|28|#D9F0A3
29|29|#ADDD8E
30|30|#FFFFCC
31|31|#C7E9B4
32|32|#7FCDBB
33|33|#41B6C4
34|34|#1D91C0
35|35|#8c510a
36|36|#d8b365
37|37|#f6e8c3
38|38|#c51b7d
39|39|#e9a3c9
40|40|#fde0ef
41|41|#762a83
42|42|#af8dc3
43|43|#e7d4e8
44|44|#b35806
45|45|#f1a340
46|46|#fee0b6
47|47|#b2182b
48|48|#ef8a62
49|49|#fddbc7
50|50|#b2182b
51|51|#ef8a62
52|52|#fddbc7
53|53|#d73027
54|54|#fc8d59
55|55|#fee090
56|56|#e0f3f8
57|57|#91bfdb
58|58|#d73027
59|59|#fc8d59
60|60|#fee08b
61|61|#d9ef8b
62|62|#91cf60
63|63|#7fc97f
64|64|#beaed4
65|65|#fdc086
66|66|#ffff99
67|67|#386cb0
68|68|#1b9e77
69|69|#d95f02
70|70|#7570b3
71|71|#e7298a
72|72|#a6cee3
73|73|#1f78b4
74|74|#b2df8a
75|75|#33a02c
76|76|#fb9a99
77|77|#fbb4ae
78|78|#b3cde3
79|79|#ccebc5
80|80|#decbe4
81|81|#fed9a6
82|82|#ffffcc
83|83|#b3e2cd
84|84|#fdcdac
85|85|#cbd5e8
86|86|#f4cae4
87|87|#e6f5c9
88|88|#fff2ae
89|89|#e41a1c
90|90|#377eb8
91|91|#4daf4a
92|92|#66c2a5
93|93|#fc8d62
94|94|#8da0cb
95|95|#8dd3c7
96|96|#ffffb3
97|97|#bebada
98|98|#EDF8FB
99|99|#CCECE6
100|100|#CCECE6
101|101|#EDF8FB
102|102|#BFD3E6
103|103|#9EBCDA
104|104|#F0F9E8
105|105|#CCEBC5
106|106|#A8DDB5
